Section Distance [km];Depth;Fluorescence;Estimated-Measured Fluorescence
1.73731;78.83450;0.27870;-0.02352
1.73731;78.46660;0.26530;-0.01446
1.73731;78.32560;0.25530;-0.00612
1.73731;78.32760;0.26610;-0.01690
1.73731;78.24440;0.27330;-0.02508
1.73731;78.00890;0.27180;-0.02596
1.77009;79.39050;0.27680;-0.00702
1.77009;79.07200;0.27280;-0.00883
1.77009;78.97150;0.28460;-0.02246
1.77009;79.17930;0.28870;-0.02277
1.77009;79.16220;0.26120;0.00442
1.80287;80.46360;0.30830;0.01552
1.80287;80.09820;0.30490;0.00100
1.80287;79.92650;0.29580;0.00167
1.80287;79.76050;0.29140;-0.00207
1.80287;79.73370;0.27810;0.00992
1.80287;79.71760;0.27500;0.01223
1.83565;80.84750;0.34680;0.04134
1.83565;80.70600;0.34130;0.02799
1.83565;80.58100;0.32210;0.03054
1.83565;80.65880;0.31720;0.04580
1.83565;80.70380;0.30600;0.06300
1.86843;81.59080;0.61090;-0.05845
1.86843;81.50870;0.54030;-0.01257
1.86843;81.68580;0.61190;-0.03085
1.86843;81.66990;0.85380;-0.27754
1.86843;81.26500;0.43970;0.01592
1.90121;82.83060;0.97890;-0.07394
1.90121;82.54430;0.94830;-0.11940
1.90121;82.32980;0.75120;0.02071
1.90121;82.17260;0.68100;0.04914
1.90121;81.91700;0.63250;0.02534
1.93399;83.92800;0.96960;-0.00389
1.93399;83.87970;1.02760;-0.06278
1.93399;83.66810;0.95670;0.00370
1.93399;83.25730;0.94230;-0.00377
1.93399;83.02480;0.97170;-0.04554
1.93399;82.95790;1.00410;-0.08150
1.96677;84.88000;0.97810;-0.00110
1.96677;84.87890;0.98920;-0.01221
1.96677;84.62670;1.01860;-0.04433
1.96677;84.21020;0.95970;0.00836
1.96677;83.98440;0.96430;-0.00004
1.99955;85.98070;0.97210;0.01364
1.99955;85.82980;0.96790;0.01627
1.99955;85.41960;1.04100;-0.06108
1.99955;84.99040;0.96430;0.01097
1.99955;84.84390;0.98520;-0.01154
2.03233;87.05940;0.94290;0.01190
2.03233;86.95250;0.93330;0.02404
2.03233;86.81360;0.99120;-0.02935
2.03233;86.30730;1.04190;-0.06346
2.03233;85.90090;1.00300;-0.02092
2.03233;85.91760;0.98660;-0.00435
2.06511;88.16550;0.95260;-0.01464
2.06511;88.01010;0.92360;0.01307
2.06511;87.54050;0.93070;0.00955
2.06511;87.23420;0.95870;-0.01112
2.06511;87.03910;0.95200;0.00026
2.09789;88.87630;0.91390;0.01794
2.09789;88.83320;0.94320;-0.01045
2.09789;88.57880;0.97300;-0.03550
